score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.54675,1.268736,200.0,200.0,2.0,1,0A,13,2,BNCI2015-001,DGCNN
0.5945,0.8142254,200.0,200.0,2.0,1,1B,13,2,BNCI2015-001,DGCNN
0.69315,0.92222476,200.0,200.0,2.0,2,0A,13,2,BNCI2015-001,DGCNN
0.7456,1.0204898,200.0,200.0,2.0,2,1B,13,2,BNCI2015-001,DGCNN
0.6089,0.82928956,200.0,200.0,2.0,3,0A,13,2,BNCI2015-001,DGCNN
0.6218,1.0244689,200.0,200.0,2.0,3,1B,13,2,BNCI2015-001,DGCNN
0.5917,0.8665691,200.0,200.0,2.0,4,0A,13,2,BNCI2015-001,DGCNN
0.6082,0.8080378,200.0,200.0,2.0,4,1B,13,2,BNCI2015-001,DGCNN
0.5452,0.80402404,200.0,200.0,2.0,5,0A,13,2,BNCI2015-001,DGCNN
0.4864,0.76033014,200.0,200.0,2.0,5,1B,13,2,BNCI2015-001,DGCNN
0.55965,0.8361662,200.0,200.0,2.0,6,0A,13,2,BNCI2015-001,DGCNN
0.55825,0.81706613,200.0,200.0,2.0,6,1B,13,2,BNCI2015-001,DGCNN
0.6691,0.88502324,200.0,200.0,2.0,7,0A,13,2,BNCI2015-001,DGCNN
0.6667,1.0324616,200.0,200.0,2.0,7,1B,13,2,BNCI2015-001,DGCNN
0.51645,1.9754646,400.0,200.0,2.0,8,0A,13,2,BNCI2015-001,DGCNN
0.59935,1.8650091,400.0,200.0,2.0,8,1B,13,2,BNCI2015-001,DGCNN
0.54675,1.568384,400.0,200.0,2.0,8,2C,13,2,BNCI2015-001,DGCNN
0.6296,1.6022123,400.0,200.0,2.0,9,0A,13,2,BNCI2015-001,DGCNN
0.61665,1.6201638,400.0,200.0,2.0,9,1B,13,2,BNCI2015-001,DGCNN
0.59885,2.627781,400.0,200.0,2.0,9,2C,13,2,BNCI2015-001,DGCNN
0.5954,1.6485821,400.0,200.0,2.0,10,0A,13,2,BNCI2015-001,DGCNN
0.5512,1.6581478,400.0,200.0,2.0,10,1B,13,2,BNCI2015-001,DGCNN
0.5555,1.3933642,400.0,200.0,2.0,10,2C,13,2,BNCI2015-001,DGCNN
0.6035,1.5513006,400.0,200.0,2.0,11,0A,13,2,BNCI2015-001,DGCNN
0.58975,1.6898549,400.0,200.0,2.0,11,1B,13,2,BNCI2015-001,DGCNN
0.5727,1.5622014,400.0,200.0,2.0,11,2C,13,2,BNCI2015-001,DGCNN
0.6478,0.6962048,200.0,200.0,2.0,12,0A,13,2,BNCI2015-001,DGCNN
0.63125,0.733047,200.0,200.0,2.0,12,1B,13,2,BNCI2015-001,DGCNN
0.99,12.701588,200.0,200.0,2.0,1,0A,13,2,BNCI2015-001,EEGNeX
0.9916,2.541383,200.0,200.0,2.0,1,1B,13,2,BNCI2015-001,EEGNeX
0.9955,3.5141764,200.0,200.0,2.0,2,0A,13,2,BNCI2015-001,EEGNeX
0.9788,4.1035223,200.0,200.0,2.0,2,1B,13,2,BNCI2015-001,EEGNeX
0.9989,3.9335604,200.0,200.0,2.0,3,0A,13,2,BNCI2015-001,EEGNeX
0.9982,4.559271,200.0,200.0,2.0,3,1B,13,2,BNCI2015-001,EEGNeX
0.9564,3.240105,200.0,200.0,2.0,4,0A,13,2,BNCI2015-001,EEGNeX
0.9695,3.6388361,200.0,200.0,2.0,4,1B,13,2,BNCI2015-001,EEGNeX
0.6434,2.0701137,200.0,200.0,2.0,5,0A,13,2,BNCI2015-001,EEGNeX
0.6878,3.8009622,200.0,200.0,2.0,5,1B,13,2,BNCI2015-001,EEGNeX
0.6194,4.2337193,200.0,200.0,2.0,6,0A,13,2,BNCI2015-001,EEGNeX
0.7793,3.548296,200.0,200.0,2.0,6,1B,13,2,BNCI2015-001,EEGNeX
0.9721,3.4142835,200.0,200.0,2.0,7,0A,13,2,BNCI2015-001,EEGNeX
0.8667,3.0352347,200.0,200.0,2.0,7,1B,13,2,BNCI2015-001,EEGNeX
0.7602,9.265616,400.0,200.0,2.0,8,0A,13,2,BNCI2015-001,EEGNeX
0.7211,7.4103365,400.0,200.0,2.0,8,1B,13,2,BNCI2015-001,EEGNeX
0.7132,7.609974,400.0,200.0,2.0,8,2C,13,2,BNCI2015-001,EEGNeX
0.7277,7.644808,400.0,200.0,2.0,9,0A,13,2,BNCI2015-001,EEGNeX
0.9283,7.5577874,400.0,200.0,2.0,9,1B,13,2,BNCI2015-001,EEGNeX
0.5647,8.820693,400.0,200.0,2.0,9,2C,13,2,BNCI2015-001,EEGNeX
0.929,12.91927,400.0,200.0,2.0,10,0A,13,2,BNCI2015-001,EEGNeX
0.8126,7.3165154,400.0,200.0,2.0,10,1B,13,2,BNCI2015-001,EEGNeX
0.7852,6.6874003,400.0,200.0,2.0,10,2C,13,2,BNCI2015-001,EEGNeX
0.954,6.7643347,400.0,200.0,2.0,11,0A,13,2,BNCI2015-001,EEGNeX
0.6481,6.7154717,400.0,200.0,2.0,11,1B,13,2,BNCI2015-001,EEGNeX
0.5579,4.645165,400.0,200.0,2.0,11,2C,13,2,BNCI2015-001,EEGNeX
0.7058,2.933444,200.0,200.0,2.0,12,0A,13,2,BNCI2015-001,EEGNeX
0.738,2.8743424,200.0,200.0,2.0,12,1B,13,2,BNCI2015-001,EEGNeX
0.9872,25.201187,200.0,200.0,2.0,1,0A,13,2,BNCI2015-001,BrainModule
0.9773,7.3222184,200.0,200.0,2.0,1,1B,13,2,BNCI2015-001,BrainModule
0.97175,8.345293,200.0,200.0,2.0,2,0A,13,2,BNCI2015-001,BrainModule
0.9815,6.113191,200.0,200.0,2.0,2,1B,13,2,BNCI2015-001,BrainModule
0.9825,8.630597,200.0,200.0,2.0,3,0A,13,2,BNCI2015-001,BrainModule
0.5371,7.5488057,200.0,200.0,2.0,3,1B,13,2,BNCI2015-001,BrainModule
0.9156,5.8701773,200.0,200.0,2.0,4,0A,13,2,BNCI2015-001,BrainModule
0.91855,5.0689793,200.0,200.0,2.0,4,1B,13,2,BNCI2015-001,BrainModule
0.5888,6.257389,200.0,200.0,2.0,5,0A,13,2,BNCI2015-001,BrainModule
0.68875,4.0693088,200.0,200.0,2.0,5,1B,13,2,BNCI2015-001,BrainModule
0.7873,4.5392995,200.0,200.0,2.0,6,0A,13,2,BNCI2015-001,BrainModule
0.7386,4.6294904,200.0,200.0,2.0,6,1B,13,2,BNCI2015-001,BrainModule
0.9408,5.5989175,200.0,200.0,2.0,7,0A,13,2,BNCI2015-001,BrainModule
0.9378,5.8249116,200.0,200.0,2.0,7,1B,13,2,BNCI2015-001,BrainModule
0.65465,15.658661,400.0,200.0,2.0,8,0A,13,2,BNCI2015-001,BrainModule
0.72785,11.951014,400.0,200.0,2.0,8,1B,13,2,BNCI2015-001,BrainModule
0.6779,9.49195,400.0,200.0,2.0,8,2C,13,2,BNCI2015-001,BrainModule
